名称,路径,类型,年份,体积(字节)
3.CFA二级总复习权益_Tom_打印版.pdf,/CFA2026/CFA二级JC/4.强化段/Equity/0.讲义/3.CFA二级总复习权益_Tom_打印版.pdf,文件,2026,473275
1.CFA二级总复习道德_Vincent_标准版.pdf,/CFA2026/CFA二级JC/4.强化段/Ethical and Professional Standards/0.讲义/1.CFA二级总复习道德_Vincent_标准版.pdf,文件,2026,1822475
2.CFA二级总复习道德_Vincent_打印版.pdf,/CFA2026/CFA二级JC/4.强化段/Ethical and Professional Standards/0.讲义/2.CFA二级总复习道德_Vincent_打印版.pdf,文件,2026,990006
3.CFA二级核心考点_道德.pdf,/CFA2026/CFA二级JC/4.强化段/Ethical and Professional Standards/0.讲义/3.CFA二级核心考点_道德.pdf,文件,2026,1512462
1.CFA二级核心考点_财报.pdf,/CFA2026/CFA二级JC/4.强化段/Financial Statement Analysis/1.CFA二级核心考点_财报.pdf,文件,2026,732564
2.CFA二级总复习财报_Tom_标准版.pdf,/CFA2026/CFA二级JC/4.强化段/Financial Statement Analysis/2.CFA二级总复习财报_Tom_标准版.pdf,文件,2026,1013399
3.CFA二级总复习财报_Tom_打印版.pdf,/CFA2026/CFA二级JC/4.强化段/Financial Statement Analysis/3.CFA二级总复习财报_Tom_打印版.pdf,文件,2026,499779
1.CFA二级总复习固收_Vincent_标准版.pdf,/CFA2026/CFA二级JC/4.强化段/Fixed Income/0.讲义/1.CFA二级总复习固收_Vincent_标准版.pdf,文件,2026,2199308
2.CFA二级总复习固收_Vincent_打印版.pdf,/CFA2026/CFA二级JC/4.强化段/Fixed Income/0.讲义/2.CFA二级总复习固收_Vincent_打印版.pdf,文件,2026,619013
3.CFA二级核心考点_固收.pdf,/CFA2026/CFA二级JC/4.强化段/Fixed Income/0.讲义/3.CFA二级核心考点_固收.pdf,文件,2026,932339
1.CFA二级核心考点_组合.pdf,/CFA2026/CFA二级JC/4.强化段/Portfolio Management/0.讲义/1.CFA二级核心考点_组合.pdf,文件,2026,823753
2.CFA二级总复习组合_Irene_标准版.pdf,/CFA2026/CFA二级JC/4.强化段/Portfolio Management/0.讲义/2.CFA二级总复习组合_Irene_标准版.pdf,文件,2026,1849284
3.CFA二级总复习组合_Irene_打印版.pdf,/CFA2026/CFA二级JC/4.强化段/Portfolio Management/0.讲义/3.CFA二级总复习组合_Irene_打印版.pdf,文件,2026,587416
1.CFA二级总复习组合_Irene_标准版.pdf,/CFA2026/CFA二级JC/4.强化段/Quantitative Methods/0.讲义/1.CFA二级总复习组合_Irene_标准版.pdf,文件,2026,3184687
2.CFA二级总复习组合_Irene_打印版.pdf,/CFA2026/CFA二级JC/4.强化段/Quantitative Methods/0.讲义/2.CFA二级总复习组合_Irene_打印版.pdf,文件,2026,1619437
3.CFA二级核心考点_数量.pdf,/CFA2026/CFA二级JC/4.强化段/Quantitative Methods/0.讲义/3.CFA二级核心考点_数量.pdf,文件,2026,1228385
CFA二级百题预测（全科目）_答案.pdf,/CFA2026/CFA二级JC/5.百题/CFA二级百题预测（全科目）_答案.pdf,文件,2026,53888137
CFA二级百题预测（全科目）_题目.pdf,/CFA2026/CFA二级JC/5.百题/CFA二级百题预测（全科目）_题目.pdf,文件,2026,175898647
CFA二级密卷_学员版_答案.pdf,/CFA2026/CFA二级JC/6.密卷/密卷讲义/CFA二级密卷_学员版_答案.pdf,文件,2026,532408
CFA二级密卷_学员版_题目.pdf,/CFA2026/CFA二级JC/6.密卷/密卷讲义/CFA二级密卷_学员版_题目.pdf,文件,2026,616642
CFA二级备考计划表（详细到知识点）.xlsx,/CFA2026/CFA二级JC/百日计划表/CFA二级备考计划表（详细到知识点）.xlsx,文件,2026,45514
CFA二级知识精讲,/CFA2026/CFA二级知识精讲,文件夹,2026,
CFA二级核心考点_另类JC.pdf,/CFA2026/CFA二级知识精讲/7.另类 sylvia/CFA二级核心考点_另类JC.pdf,文件,2026,640946
CFA二级课后题 24,/CFA2026/CFA二级知识精讲/CFA二级课后题 24,文件夹,2026,
品职教育2025年CFA二级学科速成攻略.pdf,/CFA2026/品职教育2025年CFA二级学科速成攻略.pdf,文件,2026,9246744
24cfa二级,/cfa三级/CFA/最新cfa frm电子资料/24cfa二级,文件夹,0,
2024 CFA Level II - SchweserNotes,/cfa三级/CFA/最新cfa frm电子资料/24cfa二级/2024 CFA Level II - SchweserNotes,文件夹,2024,
CFA二级课后题 24,/cfa三级/CFA/最新cfa frm电子资料/CFA二级课后题 24,文件夹,0,
23CFA二级notes,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/24cfa一级电子版资料/23CFA二级notes,文件夹,2024,
CFA 2023 Level II - SchweserNotes Book 1.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/24cfa一级电子版资料/23CFA二级notes/CFA 2023 Level II - SchweserNotes Book 1.pdf,文件,2024,3262605
CFA 2023 Level II - SchweserNotes Book 3.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/24cfa一级电子版资料/23CFA二级notes/CFA 2023 Level II - SchweserNotes Book 3.pdf,文件,2024,5990193
CFA二级2024,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024,文件夹,2024,
CFA二级2023,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023,文件夹,2024,
CFA二级 GD 2023,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023,文件夹,2024,
2023.5CFA二级GD,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/2023.5CFA二级GD,文件夹,2024,
2023.8-11CFA二级GD,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/2023.8-11CFA二级GD,文件夹,2024,
CFA2023年（框架图）-L2-36937,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/二级资料包2023/23GD资料/CFA2023年（框架图）-L2-36937,文件夹,2024,
CFA二级中文精讲,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/二级资料包2023/CFA二级中文精讲,文件夹,2024,
CFA二级中文精讲  1  第2版_14655668.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/二级资料包2023/CFA二级中文精讲/CFA二级中文精讲  1  第2版_14655668.pdf,文件,2024,147441441
CFA二级框架图（23年 ）,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/二级资料包2023/CFA二级框架图（23年 ）,文件夹,2024,
2023 品职教育CFA二级知识框架图_Economics_何旋.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 GD 2023/二级资料包2023/CFA二级框架图（23年 ）/2023 品职教育CFA二级知识框架图_Economics_何旋.pdf,文件,2024,1647790
CFA二级 JC 2023,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023,文件夹,2024,
2023.5CFA二级JC,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC,文件夹,2024,
2.CFA二级基础段财报_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC/2.基础段/6.Financial Statement Analysis-tom/讲义/2.CFA二级基础段财报_Tom_打印版.pdf,文件,2024,1045225
2.CFA二级基础段权益_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC/2.基础段/7.Equity-tom/讲义/2.CFA二级基础段权益_Tom_打印版.pdf,文件,2024,823671
2.CFA二级基础段另类_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC/2.基础段/8.Alternative Investments-tom/2.CFA二级基础段另类_Tom_打印版.pdf,文件,2024,814748
CFA二级核心考点_另类.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC/4.强化段/Alternative Investments/0.讲义/CFA二级核心考点_另类.pdf,文件,2024,640946
3.CFA二级总复习权益_Tom_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC/4.强化段/Equity/0.讲义/3.CFA二级总复习权益_Tom_打印版.pdf,文件,2024,473275
2.CFA二级总复习财报_Tom_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA二级2024/CFA二级2023/CFA二级 JC 2023/2023.5CFA二级JC/4.强化段/财报/2.CFA二级总复习财报_Tom_标准版.pdf,文件,2024,1013399
